headline,summary,date
Solving The Cyber-Resilient Puzzle And Maintaining A Secure Workforce,"If an organization doesn’t build a system to create a cyber-resilient environment, it’s welcoming adversaries to take advantage of its inefficiencies.",6 hours ago
"Bitcoin Looks Risky At $55k, But These Crypto Stocks Could Be A Better Bet","Cryptocurrency prices have surged this year, with Bitcoin now up by around 90% since early January, trading at levels of around $55k currently. However, Bitcoin looks quite risky at current levels due to a couple of factors. With Covid-19 cases on the decline, the economic outlook is improving...","Mar 17, 2021"
Why Healthcare Could Face Unprecedented Cyber Threats In 2021,Healthcare providers must own their cybersecurity readiness.,"Mar 17, 2021"
Why Orchestration Is Central To Successful Cybersecurity Training,Orchestration-based training can help your organization build skills in your security operations center at a time when these are in great demand and the best cyber talent is hard to find.,"Mar 17, 2021"
Managing The Cyber Risks Of Remote Work,"When it comes to the future of work, there should be clear guidelines on which functions (such as those who serve in deal- and market-making roles) are so sensitive they can’t be done from home and which can be done easily from anywhere.","Mar 17, 2021"
"Hackers Are Targeting U.S. Banks, And Hardware May Give Them An Open Door","Cyber attacks on banks are increasing in frequency, severity and sophistication despite banks’ investment in cybersecurity and  federal policy efforts intended to mitigate them.","Mar 17, 2021"
15 Smart Strategies For Ensuring A Successful Red Team Exercise,"Whether a red team exercise is carried out by your own team or you hire outside consultants, it will only help your team if it’s executed properly.","Mar 16, 2021"
"No, Your iPhone Is Not More Secure Than Android, Warns Cyber Billionaire",An alarming new surge in malicious apps is a much more serious threat to iPhone users than you might think...,"Mar 16, 2021"
Cyber-Security Expert Provides Guidance For CxOs,“The Cyber Elephant in the Boardroom” by VigiTrust CEO Mathieu Gorge is released with ForbesBooks.,"Mar 16, 2021"
The New CISO: Three Tips For Dealing With Imposter Syndrome,Be vigilant for the physical and mental signs that often accompany imposter syndrome.,"Mar 16, 2021"
The Banking Road Ahead For 2021,"In 2021, banks will continue to contend with a digital reckoning.","Mar 16, 2021"
Cybersecurity Policies In The Age Of Remote Work,Establishing cybersecurity policies will be imperative for the success of businesses as people continue to work from home in the new digital era.,"Mar 15, 2021"
Ransomware Attackers Take Aim At Law Firms,The information lawyers are entrusted with is some of the most sensitive a person or organization has — and cybercriminals know that.,"Mar 12, 2021"
Why 'Layered Security' Should Be Your New Mantra,"Inscrutable as the attack involving SolarWinds was, don’t overthink the seemingly obvious or mundane defenses that are the core of routine cyber protection procedures — just do them.","Mar 12, 2021"
How To Show Operational Competency Through Security Validation,Companies today need a strong security posture and must be able to demonstrate its impact on the organization’s financial stability.,"Mar 12, 2021"
"Cyber Security Stocks Have Underperfomed This Year, Time To Buy?","Our indicative portfolio of Cyber Security Stocks has declined by about 8% year-to-date, driven by the broader sell-off in technology and high growth stocks. The theme has also underperformed the Nasdaq-100, which is down by about 4% over the same period. However, we think this could be a good...","Mar 12, 2021"
How AI Will Impact The Future Of Work And Life,How will AI change the future of work?  Here's a look at what the future might hold as AI evolves and humans adapt. ,"Mar 10, 2021"
Digital Government In 2021: Lessons From The Past Year And Top Trends For The Future,Local governments must continue their efforts at digital transformation.,"Mar 10, 2021"
Training Your Team To Be More Secure In The Workplace,Leaders have the responsibility to ensure that their teams understand best practices for security in a workplace that is still mainly remote.,"Mar 10, 2021"
Are Businesses Putting Their Data And Users At Risk Each Time They Use Video Conferencing?,"To get a better sense of how the video conferencing industry has developed over the last year, and why many of the most utilized services are susceptible to cyber-attacks, I spoke with George Waller, co-founder and EVP of StrikeForce. Strikeforce helps prevent hacking and data breaches.","Mar 9, 2021"
